epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,85.8496,1.38469,1.2977,1.32337,0.85811,0.89674,0.929,0.66652,1.04855,0.9124,1.01478,0.0009035,0.0009035,0.0009035
16,90.8978,1.35264,1.20144,1.29565,0.91802,0.92166,0.95661,0.63709,1.22324,0.81264,1.07872,0.00087875,0.00087875,0.00087875
17,95.8775,1.35514,1.16922,1.31479,0.88801,0.9113,0.93238,0.6512,1.10282,0.79721,1.00667,0.000854,0.000854,0.000854
18,100.939,1.34918,1.14985,1.28746,0.94811,0.95796,0.97261,0.73809,0.9701,0.68211,0.96432,0.00082925,0.00082925,0.00082925
19,105.874,1.31681,1.10728,1.28079,0.97057,0.93412,0.98113,0.73646,0.99215,0.65505,0.99455,0.0008045,0.0008045,0.0008045
20,110.887,1.30175,1.08154,1.27231,0.92142,0.95015,0.96003,0.70365,1.06473,0.74653,1.00159,0.00077975,0.00077975,0.00077975
21,115.913,1.29921,1.07152,1.27727,0.95236,0.94762,0.96403,0.70577,1.00067,0.68896,1.00702,0.000755,0.000755,0.000755
22,120.865,1.27693,1.04586,1.27874,0.96433,0.92727,0.97739,0.70305,1.00424,0.66171,0.99812,0.00073025,0.00073025,0.00073025
23,125.818,1.27455,1.01632,1.25504,0.93939,0.93328,0.93545,0.71122,0.89971,0.73503,0.9606,0.0007055,0.0007055,0.0007055
24,130.712,1.27231,1.01009,1.25622,0.93922,0.95,0.96324,0.72813,0.92552,0.63809,0.96377,0.00068075,0.00068075,0.00068075
25,135.667,1.26248,0.97053,1.24257,0.95855,0.90946,0.96892,0.73512,0.98662,0.60669,0.98278,0.000656,0.000656,0.000656
26,140.531,1.26256,0.97354,1.23687,0.97838,0.96667,0.97792,0.67935,1.16052,0.5995,1.03587,0.00063125,0.00063125,0.00063125
27,145.566,1.23185,0.94448,1.2316,0.95441,0.94586,0.97694,0.74854,0.97035,0.5937,0.97833,0.0006065,0.0006065,0.0006065
28,150.547,1.20929,0.93355,1.22616,0.99056,0.98333,0.98105,0.75784,0.9028,0.51835,0.95033,0.00058175,0.00058175,0.00058175
29,155.581,1.23694,0.92351,1.23768,0.96342,0.9672,0.97747,0.73088,0.97303,0.5973,0.97206,0.000557,0.000557,0.000557
30,160.726,1.24725,0.92032,1.24584,0.96419,0.95088,0.97223,0.73246,0.92957,0.60509,0.97216,0.00053225,0.00053225,0.00053225
